"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"27"	"TRINITY_DN1001_c0_g2"	-0.272599323376628	5.08830986833376	-3.32932589127534	0.00622576902729109	0.0351263338816365	-3.10773970499791	"Unchanged"	1084.74	1066.95	945.79	1022.87	992.89	874.65	761.89	865.68	971.94	712.76
"28"	"TRINITY_DN10010_c0_g1"	-0.24422388255404	5.02407802195436	-2.91495652257262	0.0133039787491349	0.0586248956274878	-3.85875730968089	"Unchanged"	1045	998	920	961	912	776.97	748	767	1006	750
"29"	"TRINITY_DN10010_c0_g2"	0.639568716413916	1.80812706784095	3.85671597957154	0.0023999130400747	0.0184265485831032	-1.59791571112436	"Unchanged"	71	89	89	72	70	150	92	102	165.99	89
"30"	"TRINITY_DN100100_c0_g1"	-0.557667991927778	-0.686383561997694	-1.48893165756531	0.163032391648946	0.320299614021232	-5.04590564829569	"Unchanged"	31	21	28	12	22	33	8	7	17	7
"31"	"TRINITY_DN10011_c0_g1"	-0.0383586589095632	2.82556219135208	-0.329768370636487	0.747420473369967	0.848532811034303	-6.85504379302412	"Unchanged"	210	186	217	187	173	220	173	208	215	141
"32"	"TRINITY_DN100116_c0_g1"	-0.673692021366076	0.44221860246039	-3.47001903872975	0.00481811871889948	0.0295614546237633	-2.06014553019068	"Unchanged"	48.16	44.23	56.12	42.83	50.7	39.16	21.17	24.92	37.5	17.95
"33"	"TRINITY_DN10012_c0_g2"	-0.0531053865511933	5.48897288778605	-0.613508786631775	0.551314239767306	0.706564355503708	-7.15790146886405	"Unchanged"	1106.84	1249.91	1317.49	1323.2	1261.82	1254	1088.85	1102.41	1368.45	1125
"34"	"TRINITY_DN10012_c0_g3"	0.345783930194586	2.19022804466332	2.71900426268308	0.0190552645808025	0.0748382479467419	-3.71320170553539	"Unchanged"	108	108	104	103	132	132	132	123	171	137
"35"	"TRINITY_DN10013_c0_g1"	0.168674773567504	3.98866418136749	0.918123253959071	0.377145091731941	0.555356662221353	-6.70767387749817	"Unchanged"	266	412	604	394	424.55	537	360	506	567	347
"36"	"TRINITY_DN10013_c2_g1"	-0.0217692248273621	2.30703330596881	-0.161922129570774	0.874137603663796	0.928381824944399	-6.7839478705575	"Unchanged"	158	142	140	111	128.45	168	118	108	148	127
