"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"23","TRINITY_DN10122_c6_g1",-1.55243491977249,-0.328282708229186,-3.73958740319371,0.00295995477042476,0.0212310299245909,-1.47935135030046,39.2,38.6,56.47,35.7,29.83,10.43,1.65,25.12,13.6,16.34
"24","TRINITY_DN10124_c0_g1",2.18392968384099,2.91559689288398,12.3528515170495,4.70699468957087e-08,3.76497276706543e-05,9.05938300779115,89,111,128,74,92,410,312,413,580,508
"25","TRINITY_DN101344_c0_g1",-2.83945352198241,-1.93787996712977,-3.83769130730452,0.00248285802579413,0.0188321197714362,-1.54940915169633,28,17,32,10,21,1,2,0,3,7
"26","TRINITY_DN10142_c0_g1",-1.70359954148856,0.961617371461037,-5.87415876430262,8.45602911808849e-05,0.00215550686885218,1.81972832581599,140.54,54.36,101.22,93.35,114.77,26.8,14.28,39.18,34.91,26.61
"27","TRINITY_DN10152_c0_g2",1.31742891973307,0.488616955836214,5.21333701080038,0.000238020867997534,0.00410981554822005,0.839551598575712,19,23,42.53,19.43,29.01,84.23,46.04,48.17,65.1,52.26
"28","TRINITY_DN10157_c0_g1",1.04151023193302,2.18475531732459,4.95464536157622,0.00036293800483243,0.00535264669762491,0.242978229861832,63.01,113.01,68.16,103.01,101.01,207.08,184.3,169.03,179.21,145.93
"29","TRINITY_DN101595_c0_g1",-3.08453254290792,-1.92855101999617,-5.21998988992452,0.000235481561465543,0.00408581877312226,0.00524598503574136,26,16,35,13,26,3,1,1,2,1
"30","TRINITY_DN1016_c4_g1",-2.0312706622377,3.52182332669266,-12.3592358746269,4.68056320827026e-08,3.76497276706543e-05,9.11337516685256,635.2,546.6,811.3,469.89,774,149.77,95.28,166.12,215.45,161.09
"31","TRINITY_DN10165_c0_g1",2.3154561453798,-0.643637103950133,4.12073347368656,0.00150350722164578,0.0135978153130255,-0.848512453766092,12,5,18,4,11,45,45,34,72,13
"32","TRINITY_DN10166_c0_g1",1.08470629247577,1.61170016368051,4.96375203039898,0.000357531091460426,0.00529588060883007,0.338389388417219,52,65,58,67,52,136,134,147,105,86
"33","TRINITY_DN101660_c0_g1",-2.01702211529575,-1.00358917764817,-4.28151769736467,0.00113526623992699,0.0112947258196212,-0.633998485694875,37.03,26.03,27.72,14.63,45.81,6.12,9.38,6.24,7.29,1.03
"34","TRINITY_DN101666_c0_g1",1.2160814401911,-0.299215170869903,3.45799785984963,0.00492456774431098,0.0300047232195383,-1.97433204156458,19.52,17.85,7.36,23.54,15.72,43.09,32.33,34.94,35.12,16.83
"35","TRINITY_DN10172_c1_g1",1.0303415657465,5.14269219032835,4.00418270174775,0.00184653495947086,0.0155485275478381,-1.87215049330679,518,724.26,1309.83,439,643.54,1264.89,817.73,1329.78,2253.8,1448
"36","TRINITY_DN10176_c1_g3",1.52324457437402,-1.40526823704053,3.13741049213309,0.00884521795566022,0.0444718517237971,-2.38606024181435,11.57,5.38,1.66,9.9,10.7,18.28,15.39,21.64,15.5,8.8
"37","TRINITY_DN10188_c1_g1",1.45924122618346,-0.105435741322498,4.79980554649833,0.00046927663900134,0.00626897980794706,0.217897584126006,23.67,17,20.45,13.34,10.48,26.44,42.02,34.93,53.35,46.66
"38","TRINITY_DN101918_c0_g1",-1.2141217527707,-1.42602405159568,-3.24906070426628,0.00720945992263114,0.0388170396606445,-2.21345494947372,14,20,17,14,17,8,2,7,4,7
