"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"26"	"TRINITY_DN10_c9_g1"	0.124588190717316	2.371992938324	0.688138971285624	0.504039986546404	0.665711216859728	-6.549143967558	"Unchanged"	144	101.07	141.34	154.93	111.06	125.14	95.64	155.01	224.94	115.72
"27"	"TRINITY_DN100_c0_g1"	-0.0470851140954522	5.57700395372315	-0.262589225113255	0.797180683028954	0.879836755057325	-7.30865177836907	"Unchanged"	1240.9	1017.59	1744.24	1109.11	1296.03	1204.12	731.6	1112.88	2096.81	1188.47
"28"	"TRINITY_DN100_c0_g2"	-0.334653866557329	8.1608189819838	-3.43487573090065	0.00472765311709137	0.0281619895861341	-3.08151970446558	"Unchanged"	8443.52	7694.37	8093.39	9679.03	7635.53	6011.76	6419.36	6174.11	8515.73	5989.27
"29"	"TRINITY_DN100_c0_g3"	-0.102828848686834	7.86917397331611	-1.53981278418922	0.148736096752808	0.297180098249278	-6.35547026353301	"Unchanged"	7024.84	6182.65	6160.33	5485.24	6239.7	6186.73	5582.95	5873.72	6724.36	5098.67
"30"	"TRINITY_DN100_c1_g1"	0.21202385046225	3.884908237729	2.07876414386649	0.0590264188141663	0.15937197016587	-5.12161414163114	"Unchanged"	360.9	314.43	379.35	350.83	358.57	402.88	388	494.5	469.47	319.76
"31"	"TRINITY_DN100_c2_g1"	0.600786481575666	1.01736614781475	2.13448772523363	0.0534135207661272	0.148844284558621	-4.43893943942065	"Unchanged"	56	44.01	37	37.74	44	128.99	57.98	44	52	54.99
"32"	"TRINITY_DN1000_c0_g1"	-0.0785129969219757	6.93035326935014	-1.31920787185877	0.210949605445107	0.376308731656017	-6.58058463022426	"Unchanged"	3164.07	3100.79	3554.4	3142.46	3389.54	3041.65	2629.33	3049.38	3641.71	2860.56
"33"	"TRINITY_DN10000_c0_g1"	0.271540968128256	1.48039631753064	0.985444497693364	0.343250879472405	0.519750964602427	-6.09546122310181	"Unchanged"	81.3	41.29	93.17	56.68	71.1	55.94	58	58.97	113.59	127.3
"34"	"TRINITY_DN10000_c0_g2"	-0.178765171046986	4.34302378648478	-1.74736042885222	0.105281427877235	0.23606166339677	-5.72281696371019	"Unchanged"	570.71	509.86	613.84	440.32	665.9	465.59	401	471.04	638.42	510.7
"35"	"TRINITY_DN10000_c1_g1"	0.291647656101715	2.54565863305161	1.67293649060054	0.119370901265412	0.256475349773073	-5.48874765835401	"Unchanged"	127	136	131	114	176	213	158	201	145	129
"36"	"TRINITY_DN10000_c2_g1"	0.293122065341298	1.04971104066699	1.32121893758007	0.210298097515368	0.375460769094784	-5.62831610536309	"Unchanged"	46	38	56.82	36	80	53.88	50.38	77	66.93	43.05
"37"	"TRINITY_DN100007_c0_g1"	-0.429643574120927	-0.818230703266254	-1.32746570862102	0.208284818463963	0.373108985083865	-5.19922854273934	"Unchanged"	24	18	19	10	22	12	4	18	12	13
"38"	"TRINITY_DN10001_c0_g1"	0.491239984870407	0.605033607637909	2.55109244778075	0.0248844438195753	0.0879827503832938	-3.65648810404882	"Unchanged"	30.74	30.87	41.98	31.43	38.66	36.98	44.88	46.29	59.44	37.52
"39"	"TRINITY_DN10001_c1_g1"	1.73076265112011	1.88476804471352	3.77566606398664	0.00250330696569149	0.018439326560375	-1.64539168370423	"Up-regulated"	35.47	49.86	71.93	48.58	76.57	336.07	55.15	303.96	216.9	110.39
"40"	"TRINITY_DN10001_c1_g2"	0.0992423992528262	0.695780283588642	0.286092860925833	0.779532192653458	0.868692334701166	-6.36578863389671	"Unchanged"	57	61	18	33	58	34	27	45	48	58
"41"	"TRINITY_DN100014_c0_g1"	0.027525152555459	0.891912222011995	0.0879715657775188	0.931304564544518	0.960885875236782	-6.44945891274302	"Unchanged"	96.01	31.38	37.72	27.95	79.98	47.65	30.52	53.76	59.03	46.23
"42"	"TRINITY_DN10002_c0_g1"	0.543908252923302	1.83026151358994	0.75792423666527	0.462662980652386	0.630556810587041	-6.37117463440872	"Unchanged"	221.66	68.42	52.51	50.33	64.39	791.03	83.97	32.52	103.36	63.13
"43"	"TRINITY_DN10003_c0_g1"	-0.289934701280936	6.99429460106083	-4.55731160542417	0.000606139195500683	0.0070884019031892	-0.90656237608216	"Unchanged"	3831.18	3408	4046.33	3407.06	3680.03	2834.86	2502.18	2994.92	3699.67	2793.54
"44"	"TRINITY_DN10003_c0_g2"	-0.340122407897275	-0.626348771291907	-0.981531730879074	0.345100638696425	0.52147454999801	-5.61863058405957	"Unchanged"	19.18	17.67	30.47	14.53	20.79	7.1	6.67	14.42	32.08	14.37
"45"	"TRINITY_DN10003_c1_g1"	0.243071843946703	3.95570482895521	1.57358751706826	0.140748724774823	0.286409493293573	-5.91086443202295	"Unchanged"	384.46	492.09	422.03	231.77	349	437.02	393.79	497.62	474.36	385.4
"46"	"TRINITY_DN10003_c2_g1"	-0.187370423559144	2.53430163449741	-1.12374907949133	0.2824119097646	0.457284627053727	-6.19086794811446	"Unchanged"	192.11	128.03	174.33	144.77	159.4	96.69	131.86	174.1	176.44	132.65
"47"	"TRINITY_DN10003_c3_g1"	0.00364977328404489	3.8765445534695	0.0211897566836565	0.983431571588942	0.990164683492013	-7.10803086684542	"Unchanged"	395.95	394.13	350.69	264.02	502.95	367.61	375.83	405.03	328.15	444.19
"48"	"TRINITY_DN10003_c4_g1"	-0.177343367889855	0.228455024698697	-0.699544977002154	0.497129799422961	0.659729237718992	-6.05217131930986	"Unchanged"	25.34	25.53	45.21	30.47	46.39	38.02	21	21.69	33.29	21.43
"49"	"TRINITY_DN100035_c0_g1"	0.141506867669965	-0.243557131976347	0.565196524853123	0.582025685286048	0.728763694300273	-6.03322997832321	"Unchanged"	21	16	26	19	29	25	19	15	23	25
"50"	"TRINITY_DN10004_c0_g1"	0.144146864330813	0.89761168782507	0.687427433971208	0.504472945261312	0.665999940154446	-6.21035147116176	"Unchanged"	43	69	50	36	42	43	43	58	55	45
"51"	"TRINITY_DN100052_c0_g1"	0.162458166637293	-0.0071526436569384	0.62220326467475	0.545083663261724	0.699880446361293	-6.05185719533628	"Unchanged"	26.55	16.34	23.22	23	44.24	21.97	20.01	30.6	31.56	23.61
"52"	"TRINITY_DN100055_c0_g1"	2.8510705051715	-1.14919890567891	5.58652092416247	0.000105240822629257	0.00221466199804281	1.17649805543476	"Up-regulated"	3	4	5	10	6	18	25	31	54	25
"53"	"TRINITY_DN10006_c0_g1"	0.314404028822972	2.43109743841033	0.392017162574648	0.701702184801696	0.816230971186441	-6.72716670321808	"Unchanged"	118	237	26	118	313	72	310	329	39	344
"54"	"TRINITY_DN100063_c0_g1"	0.333780053430127	2.427802160569	2.15982912445002	0.0510299444637964	0.144331999395985	-4.69898855829366	"Unchanged"	129.1	119.31	142.35	85.89	148.7	140.24	144.24	145.69	170.5	183.05
"55"	"TRINITY_DN100064_c0_g1"	-4.82291862726037	-1.91607867713328	-5.72777851789506	8.37123341993656e-05	0.00193208842446341	1.04665582079524	"Down-regulated"	31.31	74.92	63.83	17.24	28.25	0	1.01	1.01	1.01	0
"56"	"TRINITY_DN100065_c0_g1"	1.78579728858643	1.39216153252454	9.83627473335628	3.26266476673902e-07	8.79848369518046e-05	7.02949203038792	"Up-regulated"	34.64	42.52	41.05	26.58	46.48	162.43	111.07	123.51	131.6	101.98
"57"	"TRINITY_DN100068_c0_g1"	0.150645350472733	-0.0678854432063697	0.442505275310193	0.665746434666778	0.790464495441	-6.1355435503491	"Unchanged"	30.27	24.69	27.88	34.58	12.29	25	17.32	20.97	22.76	37.4
"58"	"TRINITY_DN10007_c1_g1"	-0.174044823899685	2.6222918169608	-0.931498750072428	0.369383687143584	0.545480759358071	-6.40439311976405	"Unchanged"	246.43	142.93	145.37	135.49	192.04	171.4	149.59	108.33	215.42	118.41
"59"	"TRINITY_DN100079_c0_g1"	1.04540131340186	1.86082385376881	3.25887142119635	0.00658146286336976	0.0352158063891352	-2.61096941224595	"Up-regulated"	53	70	67	70	73	206	220	116	97	85
"60"	"TRINITY_DN10008_c0_g1"	0.409074342143912	0.467454664527122	0.996678332037342	0.337979719585783	0.514419703257925	-5.85521557345549	"Unchanged"	32	35	32	24	40	60	43	11	76	40
"61"	"TRINITY_DN100081_c0_g1"	-0.442929069745053	-0.987312068528043	-1.27725508239364	0.224917977611674	0.392743815687383	-5.20840380081816	"Unchanged"	20.28	17.29	17.28	12.11	15.19	16.21	2.08	13.14	16.31	6.05
"62"	"TRINITY_DN100086_c0_g1"	0.138201887596626	-0.256870203877247	0.481981407215816	0.638217494886098	0.770983484364313	-6.07449914546711	"Unchanged"	26	29	17	22	18	23	12	17	42	17
"63"	"TRINITY_DN100089_c0_g1"	-0.33098666570892	-1.01045784844649	-0.986929226761625	0.342550841593011	0.518940220103376	-5.5071692415313	"Unchanged"	13	14	22	11	17	12	13	12	7	8
"64"	"TRINITY_DN10009_c0_g1"	0.808599322468705	3.43114243983663	6.35587249489677	3.12954759091033e-05	0.00107302156842952	2.51982933533949	"Unchanged"	285.64	166	219.02	161.12	236.13	363.17	326.71	355.48	484.51	331.78
"65"	"TRINITY_DN10009_c1_g1"	0.957919348026503	-0.212697968348969	4.05341856473089	0.00150116618055413	0.0130800275769943	-0.892495911619108	"Unchanged"	16.34	14.93	19.18	18.73	16.08	32.32	18.77	38.92	33.68	24.51
"66"	"TRINITY_DN100095_c0_g1"	1.06200533061553	-0.438392640395984	2.70256636014945	0.0187533912507093	0.0723113012624033	-3.20022273682112	"Unchanged"	12	9	10	25	21	30	24	42	18	20
"67"	"TRINITY_DN100097_c0_g1"	-0.122498608559686	-0.522901832759038	-0.401656759739218	0.694775495764898	0.811105608279687	-6.04525766343497	"Unchanged"	25	22	22	19	13	23	18	16	16	8
"68"	"TRINITY_DN100099_c0_g1"	-0.105451672799488	-0.293599220252735	-0.354456419572628	0.728953918762256	0.834896494407029	-6.11977580593377	"Unchanged"	25	15	24	27	26	13	22	29	21	12
"69"	"TRINITY_DN1001_c0_g1"	0.225581468038395	4.38504289259951	2.261380060507	0.0424471921352765	0.126988494016579	-4.89721987712604	"Unchanged"	498	458	495	441	598	507	539	586	695	605
"70"	"TRINITY_DN1001_c0_g2"	0.526196053971054	0.707076600442794	2.53786380490346	0.025504373212437	0.0895211939561799	-3.69780353325872	"Unchanged"	37	34	33	28	52	44	50	41	54	56
"71"	"TRINITY_DN10010_c0_g1"	-0.169639646373302	3.97099836057977	-1.61033364848413	0.132482274439426	0.275101583956544	-5.86141294640991	"Unchanged"	429.34	461.22	416.57	372.03	458.87	376.66	344.51	377.89	397.08	416.77
"72"	"TRINITY_DN100105_c0_g1"	-1.23203517413746	-0.601096762488803	-2.72670345589489	0.0179239955487486	0.0701495486019599	-3.12245813066748	"Unchanged"	48.06	23	22	11.01	45	17.03	12	7.02	6.02	10
"73"	"TRINITY_DN100109_c0_g1"	-0.858598429565596	-0.0234190843039906	-3.22655260832703	0.00699443837240771	0.0367156880758585	-2.35884717349299	"Unchanged"	25.22	42.42	43.01	28.06	41.33	18.08	19.11	19.08	17.1	12.03
