"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"1258","TRINITY_DN20981_c0_g1",-1.18710185472418,0.00450073722748543,-3.81882083625742,0.00231105258206125,0.0174613079982031,-1.31259627889208,28.25,52.95,34.31,46.43,44.06,19.51,20.17,14.82,13.24,11.05
"1259","TRINITY_DN20991_c0_g1",-1.61676754495409,0.724284917017406,-5.49047058980057,0.000123158358100291,0.00244322070289447,1.43526300222423,112,83,60,42,97,17,27,24,29,18
"1260","TRINITY_DN210_c0_g3",7.55762396608949,0.109334547967084,4.73775472281332,0.000441350473414967,0.00564170388491188,-0.0720791510697731,0,510.53,0,0,0,220.6,323.23,316.54,621.2,582.02
"1261","TRINITY_DN21011_c0_g2",-1.05718974788704,0.934144069920069,-4.42414502996913,0.000768073768962355,0.0082755093157727,-0.358135519478786,63,51,77,84,91,31,36,29,29,38
"1262","TRINITY_DN21012_c0_g1",1.34589455430128,1.5659927187183,4.70565494132527,0.00046683363480369,0.00587406794443926,0.05733845852376,59.52,53.41,27.96,48.62,65.56,96.3,124.49,197.66,123.8,85.12
"1263","TRINITY_DN21012_c2_g1",-1.48753145230006,-0.737159770463385,-3.72779916903847,0.00273580576315396,0.0195360511124461,-1.40032090565769,27.6,27.33,33.93,24.08,22.42,3.44,11.48,3.18,14.2,14.19
"1264","TRINITY_DN21013_c0_g1",-1.13801594204372,0.309387636947555,-4.15177319628673,0.00125479890366307,0.0115501273530862,-0.764152235613436,58.97,58.74,40.97,33.57,59.57,27.17,9.97,23.28,34.63,11.82
"1265","TRINITY_DN21015_c0_g1",1.04198032090469,2.4294963882407,3.23836150927722,0.00684060052611592,0.036145202779283,-2.75882688603423,94,76,110,109,104,357,231,236,190,81
"1266","TRINITY_DN21020_c0_g1",1.05335666050784,1.15910303673134,4.094546705943,0.00139257729246604,0.0124264805340939,-0.969496316298474,52,37,45,44,31,132,92,57,83,61
"1267","TRINITY_DN21032_c0_g1",-1.76196109027678,-0.716265700242799,-4.6464472843994,0.000517941081340902,0.00632090984775716,0.079708601256435,46.27,23.88,18.39,28.73,39.89,8.78,6.03,4.08,8.07,9.14
"1268","TRINITY_DN21042_c0_g1",-1.48030085147209,0.498465269664552,-6.26345684329924,3.60468094123409e-05,0.00115491104732226,2.59723078397984,65,69.58,64.39,48.45,65,27.02,8.05,25.07,22.04,22.01
"1269","TRINITY_DN21054_c0_g2",2.34294645104865,-1.92239401126164,3.42795567837751,0.00478943389587236,0.0283841711853216,-1.94239918044174,1,6,4,11,2,8,18,14,14,16.58
"1270","TRINITY_DN21069_c0_g4",-1.76462672314992,0.0004504663802954,-3.35645801415614,0.00547767891570383,0.031098818697709,-2.10829427743942,25.14,62.3,67.21,49.57,45.74,7.27,32.25,6.32,7.24,30.15
"1271","TRINITY_DN21097_c0_g1",1.62126211181115,1.14754666690699,6.3757428762752,3.03633221716647e-05,0.00105631730650663,2.76903910886442,33,36,39,42,23,72,114,86,126,104
"1272","TRINITY_DN21106_c0_g1",-1.03712350995462,-0.151950322915632,-3.21280360673113,0.00717794246070192,0.0373842421117188,-2.35982159882165,49,48,25,30,27,14,17,8,22,15
"1273","TRINITY_DN21116_c0_g1",2.51428282695796,-2.16791880244528,4.54757158044969,0.000616681908897616,0.00717076290005445,-0.43785384289996,6,3,3,4,0,11,9,11,20,11
"1274","TRINITY_DN21142_c0_g1",2.13894119068568,-0.642821492430786,5.0241712909907,0.000269085093931655,0.00405522950053652,0.648436208377906,14,11,3,10,9,19,39,33,44,33
"1275","TRINITY_DN21144_c0_g1",1.01086993775571,0.116021223278664,3.77546243513194,0.00250425195778344,0.018443562247212,-1.40609157327097,19.15,19.57,26,14.31,27,42.48,21.41,57.34,52.72,25.17
"1276","TRINITY_DN21148_c0_g6",1.16253432275304,2.25395846349439,4.33534333382853,0.000900522145746037,0.00923169453668049,-0.706679334991741,84.83,70.34,49.88,81.9,164.82,177.02,150.98,205.05,293.56,122.91
"1277","TRINITY_DN21153_c0_g1",-1.2432567164589,1.47631885428577,-3.04248787016832,0.0098948656323466,0.0466599258767854,-2.92764859504606,76,87.75,241.42,95,108.91,72,34,100.54,28,26
"1278","TRINITY_DN21161_c0_g1",-1.5880581726661,0.402528071226674,-4.93115310412815,0.000315613376794961,0.00450234433897147,0.550637745737081,99,67,41,54,57,20,9,20,38,11
"1279","TRINITY_DN21190_c1_g1",3.6579127961756,-0.25593089299174,10.6491766656193,1.34359168047676e-07,5.35856608374464e-05,6.22575537767255,7.2,7.38,6.14,5.24,7.19,104.11,48,79.64,78.72,72.44
"1280","TRINITY_DN21200_c0_g1",-2.00434990654851,-1.08387649731643,-3.77350629583289,0.0025133485539256,0.0184750760039594,-1.32615078229155,35,18,38,13,34,8,3,1,12,7
"1281","TRINITY_DN21211_c0_g1",-1.02293107418924,0.121361877850134,-3.67173325184925,0.00303641744008049,0.0209410220532679,-1.58694855357629,52.35,33.74,48.74,24.43,56.11,21.36,9.32,25.58,27.67,11.27
"1282","TRINITY_DN21220_c4_g1",1.11149904237639,-0.419616810661712,3.42977887756124,0.0047730777872751,0.0283276484439316,-1.94464040043672,17,14,9.59,11,20,19,33,41,27,19
"1283","TRINITY_DN21222_c0_g1",1.33343104793877,-0.834049201596489,3.47594575607845,0.00437725944103669,0.0267721156807756,-1.82046186659801,8,20.39,13.06,5,9,26.27,14,14,29.01,26
"1284","TRINITY_DN21224_c0_g1",2.17078683482127,-1.0570441980642,5.27390755779436,0.000176389004400125,0.0030628774073004,0.899605198564902,9,8,10,4,4,15,22,29,33,27
"1285","TRINITY_DN2123_c9_g1",-1.10143574895591,4.96084637261819,-5.1595905366689,0.000213780193187489,0.00348059567961328,0.347525572278077,798.88,1132.63,1430.03,1306.97,1335.62,383.13,618.83,648.96,500,658.99
"1286","TRINITY_DN21289_c0_g1",-1.06085396324151,4.33784350798388,-11.439123738736,5.97319658506342e-08,3.20195450919534e-05,8.82267104662694,791.76,818.93,760.83,691.39,716.25,381.33,277.26,386.01,426.28,350.15
"1287","TRINITY_DN21327_c0_g1",-2.72577853518012,-0.631782018965904,-4.83291924450459,0.000373985818710268,0.00502000942923075,0.32794814984076,42.03,24,62.11,25,93.3,7,3,7,4,6
